,before,after,delta
maintain-redact (Energy),0.125,0.125,0.0
write (Health),0.25,0.5,0.25
read-use (Health),0.25,0.875,0.625
mask-parse (Science),0.375,0.75,0.375
extract-trace (Energy),0.375,0.875,0.5
factor-mask-infer (Office),0.375,0.625,0.25
trace-draw (Office),0.5,0.75,0.25
model (Math),0.5,1.0,0.5
trace (Energy),0.5,0.75,0.25
use-draw (Energy),0.5,0.75,0.25
trace (Science),0.5,0.75,0.25
trace (Cyber),0.5,0.875,0.375
read-trace-validate (Cyber),0.5,0.75,0.25
use-extract-read (Science),0.625,0.875,0.25
validate-parse-write (Health),0.625,0.875,0.25
follow-detect-factor (Robotics),0.625,0.875,0.25
read-redact (Media),0.75,0.875,0.125
use (Cyber),0.75,0.875,0.125
use-validate-parse (Health),0.75,1.0,0.25
parse-validate-follow (Office),0.75,1.0,0.25
redact-validate (Math),0.75,1.0,0.25
write (Office),0.875,0.875,0.0
negate-infer-draw (Finance),0.875,0.875,0.0
use-factor (Health),0.875,0.875,0.0
negate-use (Robotics),0.875,1.0,0.125
mask-negate (SW Eng),0.875,1.0,0.125
mask-infer-parse (Mfg),0.875,0.875,0.0
negate-factor-follow (Office),1.0,1.0,0.0
validate (Mfg),1.0,1.0,0.0
