,llama3.2-1b,qwen2.5-1.5b,qwen2.5-3b,qwen3-0.6b
language-66c6f6fd,0.2,0.0,0.20000000000000007,0.0
language-80baaa26,0.6,0.2,0.4,0.2
language-c53751b4,0.0,0.0,0.0,0.0
language-663d103d,-0.2,0.0,-0.2,0.0
language-65ec4734,0.0,0.0,0.0,0.0
language-70142d7e,0.0,0.4,0.4,0.0
language-4a2f21b0,0.0,0.0,0.0,0.0
language-14d7580f,0.0,0.0,-0.2,0.0
language-f56b6e79,0.0,0.0,-0.2,-0.2
language-133583f4,0.6,0.0,0.4,0.2
language-3ec06664,0.2,0.0,0.0,0.0
language-b1c12e8a,0.4,0.0,0.4,0.4
language-a4de62ab,0.0,0.0,-0.2,0.0
language-6c49c1fd,0.0,0.0,0.0,0.0
language-18de6bdd,0.0,0.0,0.39999999999999997,0.0
